"non-terminals",";","IDENTIFIER",":","CASE","DEFAULT","{","}","IF","(",")","SWITCH","ELSE","WHILE","DO","FOR","GOTO","CONTINUE","BREAK","RETURN",",","?","OR_OP","AND_OP","|","^","&","EQ_OP","NE_OP","<",">","LE_OP","GE_OP","LEFT_OP","RIGHT_OP","+","-","*","/","%","INC_OP","DEC_OP","SIZEOF","~","!","[","]",".","PTR_OP","CONSTANT","STRING_LITERAL","=","TYPEDEF","EXTERN","STATIC","AUTO","REGISTER","VOID","CHAR","SHORT","INT","LONG","FLOAT","DOUBLE","SIGNED","UNSIGNED","TYPE_NAME","STRUCT","UNION","ENUM","CONST","VOLATILE","ELLIPSIS","comma_opt","MUL_ASSIGN","DIV_ASSIGN","MOD_ASSIGN","ADD_ASSIGN","SUB_ASSIGN","LEFT_ASSIGN","RIGHT_ASSIGN","AND_ASSIGN","XOR_ASSIGN","OR_ASSIGN","$",
"start","error"," translation_unit","error","error","error","error","error","error"," translation_unit","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," translation_unit","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," translation_unit"," translation_unit"," translation_unit"," translation_unit"," translation_unit"," translation_unit"," translation_unit"," translation_unit"," translation_unit"," translation_unit"," translation_unit"," translation_unit"," translation_unit"," translation_unit"," translation_unit"," translation_unit"," translation_unit"," translation_unit"," translation_unit"," translation_unit","error","error","error","error","error","error","error","error","error","error","error","error","error",
"translation_unit","error"," external_declaration translation_unit_tail","error","error","error","error","error","error"," external_declaration translation_unit_tail","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," external_declaration translation_unit_tail","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," external_declaration translation_unit_tail"," external_declaration translation_unit_tail"," external_declaration translation_unit_tail"," external_declaration translation_unit_tail"," external_declaration translation_unit_tail"," external_declaration translation_unit_tail"," external_declaration translation_unit_tail"," external_declaration translation_unit_tail"," external_declaration translation_unit_tail"," external_declaration translation_unit_tail"," external_declaration translation_unit_tail"," external_declaration translation_unit_tail"," external_declaration translation_unit_tail"," external_declaration translation_unit_tail"," external_declaration translation_unit_tail"," external_declaration translation_unit_tail"," external_declaration translation_unit_tail"," external_declaration translation_unit_tail"," external_declaration translation_unit_tail"," external_declaration translation_unit_tail","error","error","error","error","error","error","error","error","error","error","error","error","error",
"external_declaration","error"," declarator function_tail","error","error","error","error","error","error"," declarator function_tail","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," declarator function_tail","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," declaration_specifiers external_tail"," declaration_specifiers external_tail"," declaration_specifiers external_tail"," declaration_specifiers external_tail"," declaration_specifiers external_tail"," declaration_specifiers external_tail"," declaration_specifiers external_tail"," declaration_specifiers external_tail"," declaration_specifiers external_tail"," declaration_specifiers external_tail"," declaration_specifiers external_tail"," declaration_specifiers external_tail"," declaration_specifiers external_tail"," declaration_specifiers external_tail"," declaration_specifiers external_tail"," declaration_specifiers external_tail"," declaration_specifiers external_tail"," declaration_specifiers external_tail"," declaration_specifiers external_tail"," declaration_specifiers external_tail","error","error","error","error","error","error","error","error","error","error","error","error","error",
"translation_unit_tail","error"," external_declaration translation_unit_tail","error","error","error","error","error","error"," external_declaration translation_unit_tail","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," external_declaration translation_unit_tail","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," external_declaration translation_unit_tail"," external_declaration translation_unit_tail"," external_declaration translation_unit_tail"," external_declaration translation_unit_tail"," external_declaration translation_unit_tail"," external_declaration translation_unit_tail"," external_declaration translation_unit_tail"," external_declaration translation_unit_tail"," external_declaration translation_unit_tail"," external_declaration translation_unit_tail"," external_declaration translation_unit_tail"," external_declaration translation_unit_tail"," external_declaration translation_unit_tail"," external_declaration translation_unit_tail"," external_declaration translation_unit_tail"," external_declaration translation_unit_tail"," external_declaration translation_unit_tail"," external_declaration translation_unit_tail"," external_declaration translation_unit_tail"," external_declaration translation_unit_tail","error","error","error","error","error","error","error","error","error","error","error","error"," epsilon",
"declaration_specifiers","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," storage_class_specifier declaration_specifiers_opt"," storage_class_specifier declaration_specifiers_opt"," storage_class_specifier declaration_specifiers_opt"," storage_class_specifier declaration_specifiers_opt"," storage_class_specifier declaration_specifiers_opt"," type_specifier declaration_specifiers_opt"," type_specifier declaration_specifiers_opt"," type_specifier declaration_specifiers_opt"," type_specifier declaration_specifiers_opt"," type_specifier declaration_specifiers_opt"," type_specifier declaration_specifiers_opt"," type_specifier declaration_specifiers_opt"," type_specifier declaration_specifiers_opt"," type_specifier declaration_specifiers_opt"," type_specifier declaration_specifiers_opt"," type_specifier declaration_specifiers_opt"," type_specifier declaration_specifiers_opt"," type_specifier declaration_specifiers_opt"," type_qualifier declaration_specifiers_opt"," type_qualifier declaration_specifiers_opt","error","error","error","error","error","error","error","error","error","error","error","error","error",
"external_tail"," ;"," declarator external_decl_branch","error","error","error","error","error","error"," declarator external_decl_branch","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," declarator external_decl_branch","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error",
"declarator","error"," direct_declarator","error","error","error","error","error","error"," direct_declarator","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," pointer direct_declarator","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error",
"function_tail","error"," declaration_list_opt compound_statement","error","error","error","error","error","error"," declaration_list_opt compound_statement","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," declaration_list_opt compound_statement","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," declaration_list_opt compound_statement"," declaration_list_opt compound_statement"," declaration_list_opt compound_statement"," declaration_list_opt compound_statement"," declaration_list_opt compound_statement"," declaration_list_opt compound_statement"," declaration_list_opt compound_statement"," declaration_list_opt compound_statement"," declaration_list_opt compound_statement"," declaration_list_opt compound_statement"," declaration_list_opt compound_statement"," declaration_list_opt compound_statement"," declaration_list_opt compound_statement"," declaration_list_opt compound_statement"," declaration_list_opt compound_statement"," declaration_list_opt compound_statement"," declaration_list_opt compound_statement"," declaration_list_opt compound_statement"," declaration_list_opt compound_statement"," declaration_list_opt compound_statement","error","error","error","error","error","error","error","error","error","error","error","error"," declaration_list_opt compound_statement",
"external_decl_branch"," ;"," declaration_list_opt compound_statement","error","error","error","error","error","error"," declaration_list_opt compound_statement","error","error","error","error","error","error","error","error","error","error"," init_declarator_list_tail ;","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," declaration_list_opt compound_statement","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," declaration_list_opt compound_statement"," declaration_list_opt compound_statement"," declaration_list_opt compound_statement"," declaration_list_opt compound_statement"," declaration_list_opt compound_statement"," declaration_list_opt compound_statement"," declaration_list_opt compound_statement"," declaration_list_opt compound_statement"," declaration_list_opt compound_statement"," declaration_list_opt compound_statement"," declaration_list_opt compound_statement"," declaration_list_opt compound_statement"," declaration_list_opt compound_statement"," declaration_list_opt compound_statement"," declaration_list_opt compound_statement"," declaration_list_opt compound_statement"," declaration_list_opt compound_statement"," declaration_list_opt compound_statement"," declaration_list_opt compound_statement"," declaration_list_opt compound_statement","error","error","error","error","error","error","error","error","error","error","error","error"," declaration_list_opt compound_statement",
"declaration_list_opt","error","error","error","error","error"," epsilon"," epsilon","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," declaration_list"," declaration_list"," declaration_list"," declaration_list"," declaration_list"," declaration_list"," declaration_list"," declaration_list"," declaration_list"," declaration_list"," declaration_list"," declaration_list"," declaration_list"," declaration_list"," declaration_list"," declaration_list"," declaration_list"," declaration_list"," declaration_list"," declaration_list","error","error","error","error","error","error","error","error","error","error","error","error","error",
